seed,alpha,gamma,q_iterations,epsilon,epsilon_min,epsilon_decay,steps_taken,finished,sweep_type,run_idx
1042,0.4,0.8,1,0.9,0.05,0.995,31,True,alpha_gamma_q_iterations,0
1043,0.4,0.8,1,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,1
1044,0.4,0.8,1,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,2
1045,0.4,0.8,1,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,3
1046,0.4,0.8,1,0.9,0.05,0.995,94,True,alpha_gamma_q_iterations,4
1047,0.4,0.8,1,0.9,0.05,0.995,54,True,alpha_gamma_q_iterations,5
1048,0.4,0.8,1,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,6
1049,0.4,0.8,1,0.9,0.05,0.995,25,True,alpha_gamma_q_iterations,7
1050,0.4,0.8,1,0.9,0.05,0.995,84,True,alpha_gamma_q_iterations,8
1051,0.4,0.8,1,0.9,0.05,0.995,200,False,alpha_gamma_q_iterations,9
2042,0.4,0.8,5,0.9,0.05,0.995,25,True,alpha_gamma_q_iterations,0
2043,0.4,0.8,5,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,1
2044,0.4,0.8,5,0.9,0.05,0.995,28,True,alpha_gamma_q_iterations,2
2045,0.4,0.8,5,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,3
2046,0.4,0.8,5,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,4
2047,0.4,0.8,5,0.9,0.05,0.995,55,True,alpha_gamma_q_iterations,5
2048,0.4,0.8,5,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,6
2049,0.4,0.8,5,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,7
2050,0.4,0.8,5,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,8
2051,0.4,0.8,5,0.9,0.05,0.995,44,True,alpha_gamma_q_iterations,9
3042,0.4,0.8,10,0.9,0.05,0.995,110,True,alpha_gamma_q_iterations,0
3043,0.4,0.8,10,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,1
3044,0.4,0.8,10,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,2
3045,0.4,0.8,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,3
3046,0.4,0.8,10,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,4
3047,0.4,0.8,10,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,5
3048,0.4,0.8,10,0.9,0.05,0.995,56,True,alpha_gamma_q_iterations,6
3049,0.4,0.8,10,0.9,0.05,0.995,31,True,alpha_gamma_q_iterations,7
3050,0.4,0.8,10,0.9,0.05,0.995,6,True,alpha_gamma_q_iterations,8
3051,0.4,0.8,10,0.9,0.05,0.995,21,True,alpha_gamma_q_iterations,9
4042,0.4,0.9,1,0.9,0.05,0.995,34,True,alpha_gamma_q_iterations,0
4043,0.4,0.9,1,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,1
4044,0.4,0.9,1,0.9,0.05,0.995,49,True,alpha_gamma_q_iterations,2
4045,0.4,0.9,1,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,3
4046,0.4,0.9,1,0.9,0.05,0.995,3,True,alpha_gamma_q_iterations,4
4047,0.4,0.9,1,0.9,0.05,0.995,159,True,alpha_gamma_q_iterations,5
4048,0.4,0.9,1,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,6
4049,0.4,0.9,1,0.9,0.05,0.995,44,True,alpha_gamma_q_iterations,7
