seed,alpha,gamma,q_iterations,epsilon,epsilon_min,epsilon_decay,steps_taken,finished,sweep_type,run_idx
101042,0.1,0.9,5,0.6,0.01,0.99,5,True,epsilon_epsilon_min_epsilon_decay,0
101043,0.1,0.9,5,0.6,0.01,0.99,17,True,epsilon_epsilon_min_epsilon_decay,1
101044,0.1,0.9,5,0.6,0.01,0.99,10,True,epsilon_epsilon_min_epsilon_decay,2
101045,0.1,0.9,5,0.6,0.01,0.99,17,True,epsilon_epsilon_min_epsilon_decay,3
101046,0.1,0.9,5,0.6,0.01,0.99,137,True,epsilon_epsilon_min_epsilon_decay,4
101047,0.1,0.9,5,0.6,0.01,0.99,200,False,epsilon_epsilon_min_epsilon_decay,5
101048,0.1,0.9,5,0.6,0.01,0.99,3,True,epsilon_epsilon_min_epsilon_decay,6
101049,0.1,0.9,5,0.6,0.01,0.99,28,True,epsilon_epsilon_min_epsilon_decay,7
101050,0.1,0.9,5,0.6,0.01,0.99,5,True,epsilon_epsilon_min_epsilon_decay,8
101051,0.1,0.9,5,0.6,0.01,0.99,66,True,epsilon_epsilon_min_epsilon_decay,9
102042,0.1,0.9,5,0.6,0.01,0.995,86,True,epsilon_epsilon_min_epsilon_decay,0
102043,0.1,0.9,5,0.6,0.01,0.995,12,True,epsilon_epsilon_min_epsilon_decay,1
102044,0.1,0.9,5,0.6,0.01,0.995,150,True,epsilon_epsilon_min_epsilon_decay,2
102045,0.1,0.9,5,0.6,0.01,0.995,81,True,epsilon_epsilon_min_epsilon_decay,3
102046,0.1,0.9,5,0.6,0.01,0.995,12,True,epsilon_epsilon_min_epsilon_decay,4
102047,0.1,0.9,5,0.6,0.01,0.995,18,True,epsilon_epsilon_min_epsilon_decay,5
102048,0.1,0.9,5,0.6,0.01,0.995,56,True,epsilon_epsilon_min_epsilon_decay,6
102049,0.1,0.9,5,0.6,0.01,0.995,16,True,epsilon_epsilon_min_epsilon_decay,7
102050,0.1,0.9,5,0.6,0.01,0.995,28,True,epsilon_epsilon_min_epsilon_decay,8
102051,0.1,0.9,5,0.6,0.01,0.995,9,True,epsilon_epsilon_min_epsilon_decay,9
103042,0.1,0.9,5,0.6,0.01,0.999,59,True,epsilon_epsilon_min_epsilon_decay,0
103043,0.1,0.9,5,0.6,0.01,0.999,31,True,epsilon_epsilon_min_epsilon_decay,1
